,year,infraction_code,street_address,count,fine_sum,fine_descrp,mean_hour,lat,lng,full_address,fine_amt
206968,2008,15,43 ELM ST,869,86900.0,PARK 3 M OF FIRE HYDRANT,15.0,43.6571928,-79.38367339999999,43 Elm St Toronto ON M5G 1H1 Canada,100.0
207724,2008,15,5100 YONGE ST,496,49600.0,PARK 3 M OF FIRE HYDRANT,14.0,43.7672827,-79.414745,5100 Yonge St Toronto ON M2N 5W4 Canada,100.0
206509,2008,15,393 UNIVERSITY AVE,465,46500.0,PARK 3 M OF FIRE HYDRANT,12.0,43.65400959999999,-79.3872207,393 University Ave Toronto ON M5G Canada,100.0
205795,2008,15,33 ELMHURST AVE,397,39700.0,PARK 3 M OF FIRE HYDRANT,13.0,43.7624237,-79.4128298,33 Elmhurst Ave North York ON M2N 6G8 Canada,100.0
208114,2008,15,56 THE ESPLANADE,384,38400.0,PARK 3 M OF FIRE HYDRANT,16.0,43.6471037,-79.3741972,56 The Esplanade Toronto ON M5E 1A6 Canada,100.0
206668,2008,15,40 ORCHARD VIEW BLVD,327,32700.0,PARK 3 M OF FIRE HYDRANT,15.0,43.7081781,-79.39970579999999,40 Orchard View Blvd Toronto ON M4R 1B9 Canada,100.0
201055,2008,15,112 MERTON ST,300,30000.0,PARK 3 M OF FIRE HYDRANT,13.0,43.6971311,-79.39278449999999,112 Merton St Toronto ON M4S 2Z8 Canada,100.0
207742,2008,15,5150 YONGE ST,299,29900.0,PARK 3 M OF FIRE HYDRANT,14.0,43.7686643,-79.413377,5150 Yonge St Toronto ON M2N 6L6 Canada,100.0
208370,2008,15,6 SPRING GARDEN AVE,262,26200.0,PARK 3 M OF FIRE HYDRANT,16.0,43.7645273,-79.41070409999999,6 Spring Garden Ave North York ON M2N 7M2 Canada,100.0
204778,2008,15,26 WELLINGTON ST E,248,24800.0,PARK 3 M OF FIRE HYDRANT,14.0,43.6483334,-79.37581080000001,26 Wellington St E Toronto ON M5E 1S2 Canada,100.0
206231,2008,15,361 UNIVERSITY AVE,246,24600.0,PARK 3 M OF FIRE HYDRANT,12.0,43.65292729999999,-79.3860299,361 University Ave Toronto ON M5G 1T3 Canada,100.0
208042,2008,15,5519 YONGE ST,193,19300.0,PARK 3 M OF FIRE HYDRANT,14.0,43.778369,-79.41481519999999,5519 Yonge St North York ON M2N 5S3 Canada,100.0
203011,2008,15,184 SPADINA AVE,174,17400.0,PARK 3 M OF FIRE HYDRANT,15.0,43.6496047,-79.3969999,184 Spadina Ave Toronto ON M5T 2C2 Canada,100.0
210614,2008,15,VILLIERS ST,168,16800.0,PARK 3 M OF FIRE HYDRANT,12.0,43.6496606,-79.347094,Villiers St Toronto ON Canada,100.0
205513,2008,15,31 ELM ST,158,15800.0,PARK 3 M OF FIRE HYDRANT,16.0,43.657446,-79.38296199999999,31 Elm St Toronto ON M5G 1H1 Canada,100.0
210145,2008,15,98 THE ESPLANADE,155,15500.0,PARK 3 M OF FIRE HYDRANT,15.0,43.6478328,-79.37256140000001,98 The Esplanade Toronto ON M5E 1A9 Canada,100.0
202495,2008,15,160 MUTUAL ST,150,15000.0,PARK 3 M OF FIRE HYDRANT,15.0,43.6592819,-79.37681309999999,160 Mutual St Toronto ON M5B 2M2 Canada,100.0
204407,2008,15,2409 YONGE ST,147,14700.0,PARK 3 M OF FIRE HYDRANT,14.0,43.7103604,-79.3987051,2409 Yonge St Toronto ON M4P 2E7 Canada,100.0
209853,2008,15,9 CHURCH ST,144,14400.0,PARK 3 M OF FIRE HYDRANT,15.0,43.6478315,-79.3732265,9 Church St Toronto ON M5E 1W1 Canada,100.0
206855,2008,15,417 SPADINA RD,144,14400.0,PARK 3 M OF FIRE HYDRANT,12.0,43.6888272,-79.4125071,417 Spadina Rd Toronto ON M5P 2W3 Canada,100.0
205612,2008,15,318 QUEEN ST W,142,14200.0,PARK 3 M OF FIRE HYDRANT,15.0,43.64937399999999,-79.3944037,318 Queen St W Toronto ON M5V 2A2 Canada,100.0
207761,2008,15,518 PALMERSTON BLVD,140,14000.0,PARK 3 M OF FIRE HYDRANT,15.0,43.66305430000001,-79.4133207,518 Palmerston Blvd Toronto ON M6G 2P3 Canada,100.0
210237,2008,15,BOROUGH DR,138,13800.0,PARK 3 M OF FIRE HYDRANT,10.0,43.7747957,-79.2609286,Borough Dr Toronto ON M1P Canada,100.0
202737,2008,15,171 KING ST E,136,13600.0,PARK 3 M OF FIRE HYDRANT,14.0,43.6504704,-79.3713977,171 King St E Toronto ON M5A 1J4 Canada,100.0
205360,2008,15,30 GLENDALE AVE,133,13300.0,PARK 3 M OF FIRE HYDRANT,14.0,43.6403938,-79.4514344,30 Glendale Ave Toronto ON M6R 2S7 Canada,100.0
206212,2008,15,36 WELLINGTON ST E,132,13200.0,PARK 3 M OF FIRE HYDRANT,15.0,43.6483453,-79.37512989999999,36 Wellington St E Toronto ON M5E Canada,100.0
204505,2008,15,25 BELLEVUE AVE,130,13000.0,PARK 3 M OF FIRE HYDRANT,13.0,43.6538637,-79.40305959999999,25 Bellevue Ave Toronto ON M5T 1K8 Canada,100.0
204109,2008,15,227 VICTORIA ST,127,12700.0,PARK 3 M OF FIRE HYDRANT,15.0,43.6553246,-79.3788385,227 Victoria St Toronto ON M5B 1T8 Canada,100.0
201440,2008,15,123 SUNNYSIDE AVE,125,12500.0,PARK 3 M OF FIRE HYDRANT,14.0,43.6419823,-79.4495242,123 Sunnyside Ave Toronto ON M6R 2P3 Canada,100.0
207670,2008,15,5050 YONGE ST,125,12500.0,PARK 3 M OF FIRE HYDRANT,14.0,43.7670456,-79.4134279,5050 Yonge St North York ON M2N 7H1 Canada,100.0
205149,2008,15,29 ELM ST,123,12300.0,PARK 3 M OF FIRE HYDRANT,16.0,43.6574038,-79.38310690000002,29 Elm St Toronto ON M5G 1H1 Canada,100.0
201590,2008,15,13 ELM ST,123,12300.0,PARK 3 M OF FIRE HYDRANT,15.0,43.657548,-79.38234349999999,13 Elm St Toronto ON M5G 1H1 Canada,100.0
210158,2008,15,99 ATLANTIC AVE,121,12100.0,PARK 3 M OF FIRE HYDRANT,13.0,43.6390371,-79.42022349999999,99 Atlantic Ave Toronto ON M6K 3J8 Canada,100.0
206099,2008,15,35 WELLINGTON ST E,121,12100.0,PARK 3 M OF FIRE HYDRANT,17.0,43.64812269999999,-79.3752092,35 Wellington St E Toronto ON M5E 1C6 Canada,100.0
203318,2008,15,2 ARUNDEL AVE,121,12100.0,PARK 3 M OF FIRE HYDRANT,17.0,43.678175,-79.3510826,2 Arundel Ave Toronto ON M4K 3A2 Canada,100.0
202687,2008,15,17 PRINCE ARTHUR AVE,115,11500.0,PARK 3 M OF FIRE HYDRANT,15.0,43.6694988,-79.39592929999999,17 Prince Arthur Ave Toronto ON M5R 1B2 Canada,100.0
208888,2008,15,682 COLLEGE ST,113,11300.0,PARK 3 M OF FIRE HYDRANT,16.0,43.65525969999999,-79.4173521,682 College St Toronto ON M6G 1C1 Canada,100.0
207031,2008,15,44 BALLIOL ST,111,11100.0,PARK 3 M OF FIRE HYDRANT,13.0,43.69796669999999,-79.39507789999999,44 Balliol St Toronto ON M4S 1C1 Canada,100.0
209332,2008,15,777 JARVIS ST,109,10900.0,PARK 3 M OF FIRE HYDRANT,12.0,43.6699843,-79.3799006,777 Jarvis St Toronto ON M4Y Canada,100.0
209913,2008,15,90 KIPPENDAVIE AVE,108,10800.0,PARK 3 M OF FIRE HYDRANT,16.0,43.6683146,-79.30411389999999,90 Kippendavie Ave Toronto ON M4L 3R5 Canada,100.0
210192,2008,15,ALBERT ST,104,10400.0,PARK 3 M OF FIRE HYDRANT,13.0,43.6532393,-79.38133409999999,Albert St Toronto ON Canada,100.0
207686,2008,15,51 ALEXANDER ST,101,10100.0,PARK 3 M OF FIRE HYDRANT,16.0,43.6629419,-79.3812645,51 Alexander St Toronto ON M4Y 1B2 Canada,100.0
204279,2008,15,2364 YONGE ST,101,10100.0,PARK 3 M OF FIRE HYDRANT,14.0,43.7086903,-79.3990274,2364 Yonge St Toronto ON M4P 2E6 Canada,100.0
208657,2008,15,643 MOUNT PLEASANT RD,100,10000.0,PARK 3 M OF FIRE HYDRANT,16.0,43.7049159,-79.38876540000001,643 Mt Pleasant Rd Toronto ON M4S 2M9 Canada,100.0
209659,2008,15,840 COXWELL AVE,100,10000.0,PARK 3 M OF FIRE HYDRANT,12.0,43.6900163,-79.3271038,840 Coxwell Ave East York ON M4C 5T2 Canada,100.0
205219,2008,15,293 SPADINA AVE,97,9700.0,PARK 3 M OF FIRE HYDRANT,16.0,43.653623,-79.3977756,293 Spadina Ave Toronto ON M5T 2E6 Canada,100.0
207648,2008,15,5000 YONGE ST,97,9700.0,PARK 3 M OF FIRE HYDRANT,15.0,43.7662143,-79.4128728,5000 Yonge St North York ON M2N Canada,100.0
208880,2008,15,680 COLLEGE ST,97,9700.0,PARK 3 M OF FIRE HYDRANT,16.0,43.6554407,-79.4173502,680 College St Toronto ON M6G 1C1 Canada,100.0
207468,2008,15,4910 YONGE ST,95,9500.0,PARK 3 M OF FIRE HYDRANT,14.0,43.7640535,-79.4120547,4910 Yonge St North York ON M2N Canada,100.0
210479,2008,15,MORTIMER AVE,91,9100.0,PARK 3 M OF FIRE HYDRANT,13.0,43.6884328,-79.3364359,Mortimer Ave Toronto ON Canada,100.0
205191,2008,15,290 QUEEN ST W,89,8900.0,PARK 3 M OF FIRE HYDRANT,15.0,43.6497036,-79.39305739999999,290 Queen St W Toronto ON M5V 2A1 Canada,100.0
206038,2008,15,345 DANFORTH AVE,89,8900.0,PARK 3 M OF FIRE HYDRANT,15.0,43.6771974,-79.35315,345 Danforth Ave Toronto ON M4K 1N7 Canada,100.0
205605,2008,15,317 LONSDALE RD,88,8800.0,PARK 3 M OF FIRE HYDRANT,13.0,43.6887959,-79.4114379,317 Lonsdale Rd Toronto ON M4V 1X3 Canada,100.0
206301,2008,15,37 PRINCE ARTHUR AVE,88,8800.0,PARK 3 M OF FIRE HYDRANT,14.0,43.66923999999999,-79.39720419999999,37 Prince Arthur Ave Toronto ON M5R 1B2 Canada,100.0
209657,2008,15,84 YORKVILLE AVE,88,8800.0,PARK 3 M OF FIRE HYDRANT,14.0,43.6711713,-79.391593,84 Yorkville Ave Toronto ON M5R 1B9 Canada,100.0
206612,2008,15,40 ASQUITH AVE,87,8700.0,PARK 3 M OF FIRE HYDRANT,13.0,43.671974,-79.38507349999999,40 Asquith Ave Toronto ON M4W 3W7 Canada,100.0
209020,2008,15,70 MILL ST,86,8600.0,PARK 3 M OF FIRE HYDRANT,16.0,43.65105459999999,-79.3590608,70 Mill St Toronto ON M5A 4R1 Canada,100.0
206854,2008,15,417 SPADINA AVE,86,8600.0,PARK 3 M OF FIRE HYDRANT,14.0,43.6570395,-79.3994077,417 Spadina Ave Toronto ON M5T 2G6 Canada,100.0
202097,2008,15,15 BREADALBANE ST,85,8500.0,PARK 3 M OF FIRE HYDRANT,14.0,43.6636416,-79.3850222,15 Breadalbane St Toronto ON M4Y 1C2 Canada,100.0
202902,2008,15,18 LOLA RD,84,8400.0,PARK 3 M OF FIRE HYDRANT,16.0,43.7017776,-79.3979331,18 Lola Rd Toronto ON M5P 1E4 Canada,100.0
208407,2008,15,60 FENWICK AVE,83,8300.0,PARK 3 M OF FIRE HYDRANT,15.0,43.6778455,-79.34845349999999,60 Fenwick Ave Toronto ON M4K 3H3 Canada,100.0
205794,2008,15,33 ELM ST,83,8300.0,PARK 3 M OF FIRE HYDRANT,15.0,43.6574601,-79.3833344,33 Elm St Toronto ON M5G 1H1 Canada,100.0
204431,2008,15,2430 YONGE ST,83,8300.0,PARK 3 M OF FIRE HYDRANT,14.0,43.7102988,-79.3993172,2430 Yonge St Toronto ON M4P 2H4 Canada,100.0
200953,2008,15,11 SELBY ST,82,8200.0,PARK 3 M OF FIRE HYDRANT,14.0,43.6711063,-79.3777257,11 Selby St Toronto ON M4Y 1W3 Canada,100.0
207526,2008,15,5 EVERSON DR,82,8200.0,PARK 3 M OF FIRE HYDRANT,17.0,43.75740769999999,-79.40685330000001,5 Everson Dr North York ON M2N 7C3 Canada,100.0
202114,2008,15,15 DORIS AVE,76,7600.0,PARK 3 M OF FIRE HYDRANT,14.0,43.7626563,-79.40841259999999,15 Doris Ave North York ON M2N 5X9 Canada,100.0
200822,2008,15,107 HARBORD ST,76,7600.0,PARK 3 M OF FIRE HYDRANT,18.0,43.662448,-79.40420999999999,107 Harbord St Toronto ON M5S 1G7 Canada,100.0
205203,2008,15,291 SPADINA AVE,76,7600.0,PARK 3 M OF FIRE HYDRANT,13.0,43.65348849999999,-79.39777620000001,291 Spadina Ave Toronto ON M5T 2E6 Canada,100.0
204337,2008,15,24 FERNDALE AVE,75,7500.0,PARK 3 M OF FIRE HYDRANT,12.0,43.6896049,-79.3921927,24 Ferndale Ave Toronto ON M4T 2B3 Canada,100.0
205362,2008,15,30 GRAND TRUNK CRES,74,7400.0,PARK 3 M OF FIRE HYDRANT,13.0,43.6422691,-79.3828039,30 Grand Trunk Crescent Toronto ON M5J 3A3 Canada,100.0
206842,2008,15,415 QUEEN ST W,72,7200.0,PARK 3 M OF FIRE HYDRANT,14.0,43.6488899,-79.3949775,415 Queen St W Toronto ON M5V 2A5 Canada,100.0
206450,2008,15,387 QUEEN ST W,71,7100.0,PARK 3 M OF FIRE HYDRANT,15.0,43.6490541,-79.39417920000001,387 Queen St W Toronto ON M5V 2A5 Canada,100.0
206922,2008,15,421 DANFORTH AVE,70,7000.0,PARK 3 M OF FIRE HYDRANT,16.0,43.6775893,-79.3510818,421 Danforth Ave Toronto ON M4K 1P1 Canada,100.0
204972,2008,15,275 BLEECKER ST,70,7000.0,PARK 3 M OF FIRE HYDRANT,16.0,43.6687541,-79.37355960000001,275 Bleecker St Toronto ON M4X 1M1 Canada,100.0
205412,2008,15,30 WELLINGTON ST E,69,6900.0,PARK 3 M OF FIRE HYDRANT,16.0,43.6487142,-79.3755403,30 Wellington St E Toronto ON M5E 1S3 Canada,100.0
205269,2008,15,299 SPADINA AVE,69,6900.0,PARK 3 M OF FIRE HYDRANT,15.0,43.6536337,-79.3978762,299 Spadina Ave Toronto ON M5T 2E6 Canada,100.0
208547,2008,15,62 VILLIERS ST,68,6800.0,PARK 3 M OF FIRE HYDRANT,9.0,43.6480761,-79.3516257,62 Villiers St Toronto ON M5A 1B1 Canada,100.0
209203,2008,15,74 WILLCOCKS ST,68,6800.0,PARK 3 M OF FIRE HYDRANT,17.0,43.6613459,-79.40212939999999,74 Willcocks St Toronto ON M5S 1C8 Canada,100.0
204759,2008,15,26 LOMBARD ST,68,6800.0,PARK 3 M OF FIRE HYDRANT,14.0,43.65172159999999,-79.37663429999999,26 Lombard St Toronto ON M5C 1M1 Canada,100.0
