,year,infraction_code,street_address,count,fine_sum,fine_descrp,mean_hour,lat,lng,full_address,fine_amt
53976,2008,3,25 THE WEST MALL,8291,248730.0,PARK/LEAVE ON PRIVATE PROPERTY,13.0,43.6112889,-79.55686709999999,25 The West Mall Etobicoke ON M9C 1B8 Canada,30.0
50294,2008,3,1750 FINCH AVE E,7525,225750.0,PARK/LEAVE ON PRIVATE PROPERTY,13.0,43.7951474,-79.3496186,Building D 1750 Finch Ave E North York ON M2J 2X5 Canada,30.0
90392,2008,5,20 EDWARD ST,4328,173120.0,PARK HWY PROHIBED TIME/DAY,15.0,43.65696699999999,-79.382122,20 Edward St Toronto ON M5G 1C9 Canada,40.0
52076,2008,3,2075 BAYVIEW AVE,5394,161820.0,PARK/LEAVE ON PRIVATE PROPERTY,12.0,43.7249074,-79.3737727,2075 Bayview Ave Toronto ON M4N 3M5 Canada,30.0
189893,2008,9,60 MURRAY ST,2683,160980.0,STOP HWY PROHIBITED TIME/DAY,13.0,43.65807090000001,-79.39175949999999,60 Murray St Toronto ON M5T 3H7 Canada,60.0
401943,2008,347,45 OVERLEA BLVD,479,119750.0,PARK IN A FIRE ROUTE,17.0,43.7055953,-79.34599,45 Overlea Blvd Toronto ON M4H 1C3 Canada,250.0
52075,2008,3,2075 BAYVIEW AV,3916,117480.0,PARK/LEAVE ON PRIVATE PROPERTY,12.0,43.7249074,-79.3737727,2075 Bayview Ave Toronto ON M4N 3M5 Canada,30.0
169512,2008,8,244 VICTORIA ST,1820,109200.0,STAND SIGN HWY PRO TIMES/DAYS,14.0,43.65525450000001,-79.3795183,244 Victoria St Toronto ON M5B 1V8 Canada,60.0
96905,2008,5,2401 YONGE ST,2552,102080.0,PARK HWY PROHIBED TIME/DAY,15.0,43.7100798,-79.3987015,2401 Yonge St Toronto ON M4P 2E7 Canada,40.0
194386,2008,9,JAMES ST,1664,99840.0,STOP HWY PROHIBITED TIME/DAY,12.0,43.653203,-79.38113899999999,James St Toronto ON Canada,60.0
181384,2008,9,200 ELIZABETH ST,1542,92520.0,STOP HWY PROHIBITED TIME/DAY,13.0,43.6586363,-79.3884791,Eaton Building 200 Elizabeth St Toronto ON M5G 2C4 Canada,60.0
190618,2008,9,66 WELLINGTON ST W,1510,90600.0,STOP HWY PROHIBITED TIME/DAY,12.0,43.6473609,-79.3811225,66 Wellington St W Toronto ON M5K 1B1 Canada,60.0
401342,2008,347,31 TAPSCOTT RD,361,90250.0,PARK IN A FIRE ROUTE,15.0,43.8067262,-79.2220804,31 Tapscott Rd Scarborough ON M1B 4Y7 Canada,250.0
401487,2008,347,3401 DUFFERIN ST,355,88750.0,PARK IN A FIRE ROUTE,15.0,43.7256702,-79.452168,3401 Dufferin St North York ON M6A 2T9 Canada,250.0
401252,2008,347,300 BOROUGH DR,351,87750.0,PARK IN A FIRE ROUTE,15.0,43.7764253,-79.2585331,300 Borough Dr Toronto ON M1P 4P5 Canada,250.0
402185,2008,347,5100 YONGE ST,349,87250.0,PARK IN A FIRE ROUTE,14.0,43.7672827,-79.414745,5100 Yonge St Toronto ON M2N 5W4 Canada,250.0
206968,2008,15,43 ELM ST,869,86900.0,PARK 3 M OF FIRE HYDRANT,15.0,43.6571928,-79.38367339999999,43 Elm St Toronto ON M5G 1H1 Canada,100.0
402836,2008,347,85 ELLESMERE RD,346,86500.0,PARK IN A FIRE ROUTE,14.0,43.7574406,-79.31254849999999,85 Ellesmere Rd Toronto ON M1R 4C1 Canada,250.0
400314,2008,347,1921 EGLINTON AVE E,335,83750.0,PARK IN A FIRE ROUTE,14.0,43.7268809,-79.2884564,1921 Eglinton Ave E Toronto ON M1L 2L6 Canada,250.0
168739,2008,8,200 KING ST E,1344,80640.0,STAND SIGN HWY PRO TIMES/DAYS,14.0,43.6509838,-79.370241,200 King St E Toronto ON M5A 3W8 Canada,60.0
167484,2008,8,15 ASQUITH AVE,1280,76800.0,STAND SIGN HWY PRO TIMES/DAYS,12.0,43.671399,-79.38591579999999,15 Asquith Ave Toronto ON M4W 1J7 Canada,60.0
133887,2008,5,74 VICTORIA ST,1896,75840.0,PARK HWY PROHIBED TIME/DAY,13.0,43.6511,-79.3775,Royal Trust Corporation of Canada 74 Victoria St Toronto ON M5C 2A4 Canada,40.0
81905,2008,5,158 VICTORIA ST,1867,74680.0,PARK HWY PROHIBED TIME/DAY,14.0,43.6534688,-79.3787143,158 Victoria St Toronto ON M5B 1T6 Canada,40.0
