,infraction_code,location2,count,fine_sum,fine_descrp,lat,lng,address
0,1,1 COLLINSON BLVD,4,120.0,PARK FAIL TO DEPOSIT FEE METER,43.7378341,-79.4374,1 Collinson Blvd North York ON M3H 3B7 Canada
1,1,1 FAIRHOLME AVE,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.7182553,-79.4302959,1 Fairholme Ave North York ON M6B 2W4 Canada
2,1,1 HOWLAND AVE,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.6659929,-79.408603,1 Howland Ave Toronto ON M5R 3B2 Canada
3,1,1 KEEWATIN AVE,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.7123306,-79.3992803,1 Keewatin Ave Toronto ON M4P 1Z9 Canada
4,1,1 WESTMORELAND AVE,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.661033,-79.4303236,1 Westmoreland Ave Toronto ON M6H 2Z6 Canada
5,1,1 WOBURN AVE,8,240.0,PARK FAIL TO DEPOSIT FEE METER,43.72828759999999,-79.40321730000001,1 Woburn Ave Toronto ON M5M 1K5 Canada
6,1,10 BALES AVE,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.7587096,-79.4089474,10 Bales Ave North York ON M2N 4S8 Canada
7,1,100 UPPER MADISON AVE,8,240.0,PARK FAIL TO DEPOSIT FEE METER,43.7642223,-79.4127268,100 Upper Madison Ave North York ON M2N 6M4 Canada
8,1,103 ELMSTHORPE AVE,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.7037396,-79.4105165,103 Elmsthorpe Ave Toronto ON M5P 2L8 Canada
9,1,104 AVENUE RD,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.6729627,-79.3961755,104 Avenue Rd Toronto ON M5R 2H3 Canada
10,1,104 CEDARVALE AVE,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.6862594,-79.3111603,104 Cedarvale Ave Toronto ON M4C 1J9 Canada
11,1,1047 GERRARD ST E,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.6689389,-79.3362796,1047 Gerrard St E Toronto ON M4M 1Z7 Canada
12,1,105 ELMSTHORPE AVE,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.703692,-79.4107425,105 Elmsthorpe Ave Toronto ON M5P 2L8 Canada
13,1,106 AVENUE RD,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.6730637,-79.39621380000001,106 Avenue Rd Toronto ON M5R 2H3 Canada
14,1,109 MOBERLY AVE,5,150.0,PARK FAIL TO DEPOSIT FEE METER,43.68513189999999,-79.31383249999999,109 Moberly Ave Toronto ON M4C 4B2 Canada
15,1,11 MC MURRAY AVE,7,210.0,PARK FAIL TO DEPOSIT FEE METER,43.6659288,-79.4709161,11 McMurray Ave Toronto ON M6P 2S9 Canada
16,1,114 WEST LYNN AVE,11,330.0,PARK FAIL TO DEPOSIT FEE METER,43.6844666,-79.316226,114 W Lynn Ave Toronto ON M4C 3W2 Canada
17,1,1142 QUEEN ST E,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.6624504,-79.33437579999999,1142 Queen St E Toronto ON M4M 1L1 Canada
18,1,1146 QUEEN ST E,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.6623903,-79.3340687,1146 Queen St E Toronto ON M4M 1L3 Canada
